"時点","地域コード","地域","総人口（総数）【人】","注記","出生率（人口千対）","注記"
"2002年","23000","愛知県","7131000","","10.3",""
"2002年","24000","三重県","1863000","","9.4",""
"2002年","25000","滋賀県","1361000","","10.4",""
"2002年","26000","京都府","2648000","","8.8",""
"2002年","27000","大阪府","8821000","","9.7",""
"2002年","28000","兵庫県","5580000","","9.5",""
"2002年","29000","奈良県","1437000","","8.7",""
"2002年","30000","和歌山県","1059000","","8.5",""
"2002年","31000","鳥取県","612000","","8.8",""
"2002年","32000","島根県","756000","","8.4",""
"2002年","33000","岡山県","1956000","","9.5",""
"2002年","34000","広島県","2878000","","9.3",""
"2002年","35000","山口県","1517000","","8.4",""
"2002年","36000","徳島県","820000","","8.4",""
"2002年","37000","香川県","1020000","","9.3",""
"2002年","38000","愛媛県","1485000","","8.4",""
"2002年","39000","高知県","810000","","8.1",""
"2002年","40000","福岡県","5039000","","9.3",""
"2002年","41000","佐賀県","874000","","9.4",""
"2002年","42000","長崎県","1505000","","8.8",""
"2002年","43000","熊本県","1857000","","9.1",""
"2002年","44000","大分県","1219000","","8.6",""
"2002年","45000","宮崎県","1165000","","9.2",""
"2002年","46000","鹿児島県","1776000","","8.9",""
"2002年","47000","沖縄県","1336000","","12.4",""
"2003年","01000","北海道","5663000","","8.0",""
"2003年","02000","青森県","1459000","","8.0",""
"2003年","03000","岩手県","1401000","","8.1",""
"2003年","04000","宮城県","2369000","","8.8",""
"2003年","05000","秋田県","1165000","","6.9",""
"2003年","06000","山形県","1230000","","8.2",""
"2003年","07000","福島県","2110000","","9.0",""
"2003年","08000","茨城県","2985000","","9.0",""
"2003年","09000","栃木県","2014000","","9.1",""
"2003年","10000","群馬県","2030000","","9.2",""
"2003年","11000","埼玉県","7028000","","9.1",""
"2003年","12000","千葉県","6030000","","8.9",""
"2003年","13000","東京都","12388000","","8.2",""
"2003年","14000","神奈川県","8702000","","9.4",""
"2003年","15000","新潟県","2455000","","8.1",""
"2003年","16000","富山県","1116000","","8.4",""
"2003年","17000","石川県","1179000","","9.3",""
"2003年","18000","福井県","827000","","9.1",""
"2003年","19000","山梨県","888000","","8.8",""
"2003年","20000","長野県","2210000","","9.1",""
"2003年","21000","岐阜県","2110000","","9.2",""
"2003年","22000","静岡県","3790000","","9.1",""
"2003年","23000","愛知県","7170000","","10.0",""
"2003年","24000","三重県","1864000","","9.0",""
"2003年","25000","滋賀県","1368000","","10.1",""
"2003年","26000","京都府","2650000","","8.6",""
"2003年","27000","大阪府","8824000","","9.4",""
"2003年","28000","兵庫県","5589000","","9.2",""
"2003年","29000","奈良県","1434000","","8.5",""
"2003年","30000","和歌山県","1052000","","8.1",""
"2003年","31000","鳥取県","611000","","9.0",""
"2003年","32000","島根県","752000","","8.1",""
"2003年","33000","岡山県","1958000","","9.2",""
"2003年","34000","広島県","2879000","","9.2",""
"2003年","35000","山口県","1510000","","8.1",""
"2003年","36000","徳島県","818000","","8.1",""
"2003年","37000","香川県","1018000","","9.0",""
"2003年","38000","愛媛県","1481000","","8.5",""
"2003年","39000","高知県","806000","","7.8",""
"2003年","40000","福岡県","5045000","","9.0",""
"2003年","41000","佐賀県","872000","","9.1",""
"2003年","42000","長崎県","1498000","","8.7",""
"2003年","43000","熊本県","1852000","","8.8",""
"2003年","44000","大分県","1217000","","8.4",""
"2003年","45000","宮崎県","1162000","","8.8",""
"2003年","46000","鹿児島県","1770000","","8.8",""
"2003年","47000","沖縄県","1345000","","12.1",""
"2004年","01000","北海道","5650000","","7.8",""
"2004年","02000","青森県","1448000","","8.0",""
"2004年","03000","岩手県","1395000","","8.0",""
"2004年","04000","宮城県","2366000","","8.6",""
"2004年","05000","秋田県","1156000","","6.9",""
"2004年","06000","山形県","1224000","","8.1",""
"2004年","07000","福島県","2102000","","8.7",""
"2004年","08000","茨城県","2982000","","8.9",""
"2004年","09000","栃木県","2016000","","9.0",""
"2004年","10000","群馬県","2027000","","8.9",""
"2004年","11000","埼玉県","7046000","","8.9",""
"2004年","12000","千葉県","6047000","","8.9",""
"2004年","13000","東京都","12482000","","8.2",""
"2004年","14000","神奈川県","8753000","","9.2",""
"2004年","15000","新潟県","2445000","","8.0",""
"2004年","16000","富山県","1115000","","8.5",""
"2004年","17000","石川県","1178000","","9.0",""
"2004年","18000","福井県","824000","","8.9",""
"2004年","19000","山梨県","886000","","8.6",""
"2004年","20000","長野県","2206000","","8.9",""
"2004年","21000","岐阜県","2108000","","8.9",""
"2004年","22000","静岡県","3791000","","9.0",""
"2004年","23000","愛知県","7209000","","10.0",""
"2004年","24000","三重県","1867000","","8.9",""
"2004年","25000","滋賀県","1375000","","10.1",""
"2004年","26000","京都府","2650000","","8.5",""
"2004年","27000","大阪府","8825000","","9.2",""
"2004年","28000","兵庫県","5592000","","9.0",""
"2004年","29000","奈良県","1428000","","8.3",""
"2004年","30000","和歌山県","1045000","","7.8",""
"2004年","31000","鳥取県","610000","","8.7",""
"2004年","32000","島根県","747000","","8.2",""
"2004年","33000","岡山県","1959000","","9.1",""
"2004年","34000","広島県","2879000","","9.0",""
"2004年","35000","山口県","1502000","","8.1",""
"2004年","36000","徳島県","814000","","8.0",""
"2004年","37000","香川県","1016000","","9.0",""
"2004年","38000","愛媛県","1475000","","8.2",""
"2004年","39000","高知県","802000","","7.6",""
"2004年","40000","福岡県","5050000","","9.0",""
"2004年","41000","佐賀県","870000","","9.1",""
"2004年","42000","長崎県","1490000","","8.7",""
"2004年","43000","熊本県","1848000","","8.8",""
"2004年","44000","大分県","1214000","","8.3",""
"2004年","45000","宮崎県","1159000","","8.9",""
"2004年","46000","鹿児島県","1763000","","8.6",""
"2004年","47000","沖縄県","1353000","","12.1",""
"2005年","01000","北海道","5627737","","7.4",""
"2005年","02000","青森県","1436657","","7.3",""
"2005年","03000","岩手県","1385041","","7.6",""
"2005年","04000","宮城県","2360218","","8.2",""
"2005年","05000","秋田県","1145501","","6.7",""
"2005年","06000","山形県","1216181","","7.7",""
"2005年","07000","福島県","2091319","","8.4",""
"2005年","08000","茨城県","2975167","","8.3",""
"2005年","09000","栃木県","2016631","","8.7",""
"2005年","10000","群馬県","2024135","","8.6",""
"2005年","11000","埼玉県","7054243","","8.6",""
"2005年","12000","千葉県","6056462","","8.5",""
"2005年","13000","東京都","12576601","","7.8",""
"2005年","14000","神奈川県","8791597","","8.8",""
"2005年","15000","新潟県","2431459","","7.6",""
"2005年","16000","富山県","1111729","","8.1",""
"2005年","17000","石川県","1174026","","8.6",""
"2005年","18000","福井県","821592","","8.8",""
"2005年","19000","山梨県","884515","","8.2",""
"2005年","20000","長野県","2196114","","8.6",""
"2005年","21000","岐阜県","2107226","","8.6",""
"2005年","22000","静岡県","3792377","","8.6",""
"2005年","23000","愛知県","7254704","","9.4",""
"2005年","24000","三重県","1866963","","8.4",""
"2005年","25000","滋賀県","1380361","","9.5",""
"2005年","26000","京都府","2647660","","8.3",""
"2005年","27000","大阪府","8817166","","8.8",""
"2005年","28000","兵庫県","5590601","","8.6",""
"2005年","29000","奈良県","1421310","","7.9",""
"2005年","30000","和歌山県","1035969","","7.6",""
"2005年","31000","鳥取県","607012","","8.3",""
"2005年","32000","島根県","742223","","7.7",""
"2005年","33000","岡山県","1957264","","8.6",""
"2005年","34000","広島県","2876642","","8.7",""
"2005年","35000","山口県","1492606","","7.8",""
"2005年","36000","徳島県","809950","","7.3",""
"2005年","37000","香川県","1012400","","8.6",""
"2005年","38000","愛媛県","1467815","","7.9",""
"2005年","39000","高知県","796292","","7.5",""
"2005年","40000","福岡県","5049908","","8.7",""
"2005年","41000","佐賀県","866369","","8.7",""
"2005年","42000","長崎県","1478632","","8.2",""
"2005年","43000","熊本県","1842233","","8.5",""
"2005年","44000","大分県","1209571","","8.1",""
"2005年","45000","宮崎県","1153042","","8.5",""
"2005年","46000","鹿児島県","1753179","","8.5",""
"2005年","47000","沖縄県","1361594","","11.9",""
"2006年","01000","北海道","5605000","","7.6",""
"2006年","02000","青森県","1424000","","7.4",""
"2006年","03000","岩手県","1375000","","7.7",""
"2006年","04000","宮城県","2358000","","8.4",""
"2006年","05000","秋田県","1134000","","6.8",""
"2006年","06000","山形県","1207000","","7.9",""
"2006年","07000","福島県","2080000","","8.5",""
"2006年","08000","茨城県","2974000","","8.6",""
"2006年","09000","栃木県","2016000","","8.9",""
"2006年","10000","群馬県","2022000","","8.6",""
"2006年","11000","埼玉県","7079000","","8.8",""
"2006年","12000","千葉県","6084000","","8.6",""
"2006年","13000","東京都","12704000","","8.2",""
"2006年","14000","神奈川県","8846000","","9.1",""
"2006年","15000","新潟県","2420000","","7.9",""
"2006年","16000","富山県","1110000","","8.2",""
"2006年","17000","石川県","1173000","","8.8",""
"2006年","18000","福井県","820000","","9.1",""
"2006年","19000","山梨県","880000","","8.2",""
"2006年","20000","長野県","2189000","","8.7",""
"2006年","21000","岐阜県","2105000","","8.8",""
"2006年","22000","静岡県","3795000","","8.8",""
"2006年","23000","愛知県","7307000","","9.8",""
"2006年","24000","三重県","1872000","","8.6",""
"2006年","25000","滋賀県","1390000","","9.9",""
"2006年","26000","京都府","2646000","","8.5",""
"2006年","27000","大阪府","8828000","","9.0",""
"2006年","28000","兵庫県","5592000","","8.9",""
"2006年","29000","奈良県","1417000","","8.2",""
"2006年","30000","和歌山県","1029000","","7.8",""
"2006年","31000","鳥取県","604000","","8.6",""
"2006年","32000","島根県","737000","","8.2",""
"2006年","33000","岡山県","1956000","","8.9",""
"2006年","34000","広島県","2875000","","8.9",""
"2006年","35000","山口県","1484000","","7.9",""
"2006年","36000","徳島県","806000","","7.8",""
"2006年","37000","香川県","1009000","","8.6",""
"2006年","38000","愛媛県","1460000","","8.1",""
"2006年","39000","高知県","790000","","7.6",""
"2006年","40000","福岡県","5057000","","9.0",""
"2006年","41000","佐賀県","863000","","8.9",""
"2006年","42000","長崎県","1467000","","8.5",""
"2006年","43000","熊本県","1838000","","8.9",""
"2006年","44000","大分県","1207000","","8.5",""
"2006年","45000","宮崎県","1150000","","8.8",""
"2006年","46000","鹿児島県","1744000","","8.7",""
"2006年","47000","沖縄県","1369000","","12.1",""
"2007年","01000","北海道","5579000","","7.5",""
"2007年","02000","青森県","1409000","","7.2",""
"2007年","03000","岩手県","1364000","","7.6",""
"2007年","04000","宮城県","2354000","","8.5",""
"2007年","05000","秋田県","1121000","","6.7",""
"2007年","06000","山形県","1198000","","7.7",""
"2007年","07000","福島県","2067000","","8.3",""
"2007年","08000","茨城県","2973000","","8.5",""
"2007年","09000","栃木県","2016000","","8.7",""
"2007年","10000","群馬県","2020000","","8.5",""
"2007年","11000","埼玉県","7106000","","8.7",""
"2007年","12000","千葉県","6119000","","8.6",""
"2007年","13000","東京都","12848000","","8.3",""
"2007年","14000","神奈川県","8912000","","9.0",""
"2007年","15000","新潟県","2408000","","7.8",""
"2007年","16000","富山県","1107000","","8.0",""
"2007年","17000","石川県","1173000","","8.9",""
"2007年","18000","福井県","817000","","8.9",""
"2007年","19000","山梨県","877000","","8.1",""
"2007年","20000","長野県","2182000","","8.7",""
"2007年","21000","岐阜県","2104000","","8.6",""
"2007年","22000","静岡県","3796000","","9.0",""
"2007年","23000","愛知県","7357000","","9.8",""
"2007年","24000","三重県","1873000","","8.6",""
"2007年","25000","滋賀県","1398000","","9.7",""
"2007年","26000","京都府","2643000","","8.3",""
"2007年","27000","大阪府","8839000","","8.9",""
"2007年","28000","兵庫県","5593000","","8.8",""
"2007年","29000","奈良県","1413000","","8.0",""
"2007年","30000","和歌山県","1021000","","7.6",""
"2007年","31000","鳥取県","601000","","8.4",""
"2007年","32000","島根県","733000","","8.1",""
"2007年","33000","岡山県","1956000","","8.8",""
"2007年","34000","広島県","2874000","","9.1",""
"2007年","35000","山口県","1476000","","8.0",""
"2007年","36000","徳島県","800000","","7.6",""
"2007年","37000","香川県","1006000","","8.7",""
"2007年","38000","愛媛県","1453000","","8.1",""
"2007年","39000","高知県","783000","","7.3",""
"2007年","40000","福岡県","5061000","","9.2",""
"2007年","41000","佐賀県","860000","","9.0",""
"2007年","42000","長崎県","1455000","","8.4",""
"2007年","43000","熊本県","1832000","","9.0",""
"2007年","44000","大分県","1206000","","8.5",""
"2007年","45000","宮崎県","1146000","","9.1",""
"2007年","46000","鹿児島県","1733000","","8.7",""
"2007年","47000","沖縄県","1374000","","12.1",""
"2008年","01000","北海道","5548000","","7.4",""
"2008年","02000","青森県","1395000","","7.3",""
"2008年","03000","岩手県","1352000","","7.6",""
"2008年","04000","宮城県","2349000","","8.5",""
"2008年","05000","秋田県","1109000","","6.7",""
"2008年","06000","山形県","1188000","","7.8",""
"2008年","07000","福島県","2054000","","8.3",""
"2008年","08000","茨城県","2971000","","8.4",""
"2008年","09000","栃木県","2015000","","8.7",""
"2008年","10000","群馬県","2017000","","8.6",""
"2008年","11000","埼玉県","7136000","","8.6",""
"2008年","12000","千葉県","6153000","","8.7",""
"2008年","13000","東京都","12973000","","8.4",""
"2008年","14000","神奈川県","8965000","","9.0",""
"2008年","15000","新潟県","2396000","","7.7",""
"2008年","16000","富山県","1103000","","8.0",""
"2008年","17000","石川県","1172000","","8.8",""
"2008年","18000","福井県","814000","","8.9",""
"2008年","19000","山梨県","871000","","8.1",""
"2008年","20000","長野県","2173000","","8.5",""
"2008年","21000","岐阜県","2100000","","8.5",""
"2008年","22000","静岡県","3793000","","8.8",""
"2008年","23000","愛知県","7399000","","9.9",""
"2008年","24000","三重県","1871000","","8.6",""
"2008年","25000","滋賀県","1405000","","9.8",""
"2008年","26000","京都府","2640000","","8.4",""
"2008年","27000","大阪府","8847000","","9.0",""
"2008年","28000","兵庫県","5592000","","8.9",""
"2008年","29000","奈良県","1407000","","7.9",""
"2008年","30000","和歌山県","1014000","","7.8",""
"2008年","31000","鳥取県","596000","","8.3",""
"2008年","32000","島根県","727000","","7.9",""
"2008年","33000","岡山県","1953000","","8.8",""
"2008年","34000","広島県","2870000","","9.0",""
"2008年","35000","山口県","1466000","","8.0",""
"2008年","36000","徳島県","795000","","7.5",""
"2008年","37000","香川県","1003000","","8.6",""
"2008年","38000","愛媛県","1445000","","8.1",""
"2008年","39000","高知県","775000","","7.5",""
"2008年","40000","福岡県","5062000","","9.3",""
"2008年","41000","佐賀県","856000","","9.2",""
"2008年","42000","長崎県","1443000","","8.5",""
"2008年","43000","熊本県","1826000","","9.1",""
"2008年","44000","大分県","1204000","","8.6",""
"2008年","45000","宮崎県","1141000","","9.1",""
"2008年","46000","鹿児島県","1721000","","9.0",""
"2008年","47000","沖縄県","1378000","","12.2",""
"2009年","01000","北海道","5524000","","7.3",""
"2009年","02000","青森県","1383000","","6.9",""
"2009年","03000","岩手県","1340000","","7.4",""
"2009年","04000","宮城県","2348000","","8.2",""
"2009年","05000","秋田県","1097000","","6.4",""
"2009年","06000","山形県","1178000","","7.4",""
"2009年","07000","福島県","2041000","","8.0",""
"2009年","08000","茨城県","2970000","","8.3",""
"2009年","09000","栃木県","2011000","","8.6",""
"2009年","10000","群馬県","2014000","","8.3",""
"2009年","11000","埼玉県","7161000","","8.5",""
"2009年","12000","千葉県","6180000","","8.6",""
"2009年","13000","東京都","13048000","","8.5",""
"2009年","14000","神奈川県","9006000","","8.9",""
"2009年","15000","新潟県","2385000","","7.6",""
"2009年","16000","富山県","1098000","","7.8",""
"2009年","17000","石川県","1171000","","8.5",""
"2009年","18000","福井県","810000","","8.8",""
"2009年","19000","山梨県","867000","","7.8",""
"2009年","20000","長野県","2162000","","8.1",""
"2009年","21000","岐阜県","2091000","","8.5",""
"2009年","22000","静岡県","3783000","","8.6",""
"2009年","23000","愛知県","7411000","","9.7",""
"2009年","24000","三重県","1864000","","8.6",""
"2009年","25000","滋賀県","1409000","","9.5",""
"2009年","26000","京都府","2637000","","8.2",""
"2009年","27000","大阪府","8855000","","8.7",""
"2009年","28000","兵庫県","5591000","","8.6",""
"2009年","29000","奈良県","1404000","","7.7",""
"2009年","30000","和歌山県","1008000","","7.5",""
"2009年","31000","鳥取県","592000","","8.3",""
"2009年","32000","島根県","721000","","7.8",""
"2009年","33000","岡山県","1949000","","8.5",""
"2009年","34000","広島県","2864000","","9.0",""
"2009年","35000","山口県","1459000","","7.8",""
"2009年","36000","徳島県","790000","","7.5",""
"2009年","37000","香川県","999000","","8.4",""
"2009年","38000","愛媛県","1438000","","8.1",""
"2009年","39000","高知県","769000","","7.1",""
"2009年","40000","福岡県","5064000","","9.2",""
"2009年","41000","佐賀県","853000","","8.9",""
"2009年","42000","長崎県","1434000","","8.3",""
"2009年","43000","熊本県","1821000","","9.0",""
"2009年","44000","大分県","1200000","","8.4",""
"2009年","45000","宮崎県","1138000","","9.0",""
"2009年","46000","鹿児島県","1712000","","8.8",""
"2009年","47000","沖縄県","1385000","","12.2",""
"2010年","01000","北海道","5506419","","7.3",""
"2010年","02000","青森県","1373339","","7.1",""
"2010年","03000","岩手県","1330147","","7.4",""
"2010年","04000","宮城県","2348165","","8.2",""
"2010年","05000","秋田県","1085997","","6.2",""
"2010年","06000","山形県","1168924","","7.4",""
"2010年","07000","福島県","2029064","","8.0",""
"2010年","08000","茨城県","2969770","","8.2",""
"2010年","09000","栃木県","2007683","","8.3",""
"2010年","10000","群馬県","2008068","","8.1",""
"2010年","11000","埼玉県","7194556","","8.4",""
"2010年","12000","千葉県","6216289","","8.4",""
"2010年","13000","東京都","13159388","","8.4",""
"2010年","14000","神奈川県","9048331","","8.8",""
"2010年","15000","新潟県","2374450","","7.7",""
"2010年","16000","富山県","1093247","","7.6",""
"2010年","17000","石川県","1169788","","8.3",""
"2010年","18000","福井県","806314","","8.6",""
"2010年","19000","山梨県","863075","","7.8",""
"2010年","20000","長野県","2152449","","8.1",""
"2010年","21000","岐阜県","2080773","","8.3",""
"2010年","22000","静岡県","3765007","","8.6",""
"2010年","23000","愛知県","7410719","","9.6",""
"2010年","24000","三重県","1854724","","8.4",""
"2010年","25000","滋賀県","1410777","","9.6",""
"2010年","26000","京都府","2636092","","8.2",""
"2010年","27000","大阪府","8865245","","8.6",""
"2010年","28000","兵庫県","5588133","","8.7",""
"2010年","29000","奈良県","1400728","","7.7",""
"2010年","30000","和歌山県","1002198","","7.6",""
"2010年","31000","鳥取県","588667","","8.2",""
"2010年","32000","島根県","717397","","8.1",""
"2010年","33000","岡山県","1945276","","8.7",""
"2010年","34000","広島県","2860750","","9.0",""
"2010年","35000","山口県","1451338","","8.0",""
"2010年","36000","徳島県","785491","","7.6",""
"2010年","37000","香川県","995842","","8.5",""
"2010年","38000","愛媛県","1431493","","8.0",""
"2010年","39000","高知県","764456","","7.2",""
"2010年","40000","福岡県","5071968","","9.3",""
"2010年","41000","佐賀県","849788","","9.0",""
"2010年","42000","長崎県","1426779","","8.5",""
"2010年","43000","熊本県","1817426","","9.0",""
"2010年","44000","大分県","1196529","","8.5",""
"2010年","45000","宮崎県","1135233","","9.0",""
"2010年","46000","鹿児島県","1706242","","8.9",""
"2010年","47000","沖縄県","1392818","","12.3",""
"2011年","01000","北海道","5488000","","7.2",""
"2011年","02000","青森県","1363000","","7.0",""
"2011年","03000","岩手県","1315000","","7.1",""
"2011年","04000","宮城県","2326000","","7.8",""
"2011年","05000","秋田県","1075000","","6.2",""
"2011年","06000","山形県","1162000","","7.4",""
"2011年","07000","福島県","1988000","","7.6",""
"2011年","08000","茨城県","2960000","","8.0",""
"2011年","09000","栃木県","2000000","","8.1",""
"2011年","10000","群馬県","2001000","","8.0",""
"2011年","11000","埼玉県","7209000","","8.2",""
"2011年","12000","千葉県","6217000","","8.2",""
"2011年","13000","東京都","13198000","","8.2",""
"2011年","14000","神奈川県","9060000","","8.5",""
"2011年","15000","新潟県","2364000","","7.5",""
"2011年","16000","富山県","1088000","","7.3",""
"2011年","17000","石川県","1167000","","8.3",""
"2011年","18000","福井県","803000","","8.5",""
"2011年","19000","山梨県","857000","","7.6",""
"2011年","20000","長野県","2142000","","8.0",""
"2011年","21000","岐阜県","2071000","","8.3",""
"2011年","22000","静岡県","3752000","","8.4",""
"2011年","23000","愛知県","7418000","","9.5",""
"2011年","24000","三重県","1847000","","8.3",""
"2011年","25000","滋賀県","1413000","","9.6",""
"2011年","26000","京都府","2633000","","8.0",""
"2011年","27000","大阪府","8863000","","8.5",""
"2011年","28000","兵庫県","5584000","","8.6",""
"2011年","29000","奈良県","1395000","","7.5",""
"2011年","30000","和歌山県","995000","","7.5",""
"2011年","31000","鳥取県","586000","","8.5",""
"2011年","32000","島根県","713000","","7.9",""
"2011年","33000","岡山県","1941000","","8.7",""
"2011年","34000","広島県","2858000","","9.0",""
"2011年","35000","山口県","1444000","","7.8",""
"2011年","36000","徳島県","780000","","7.6",""
"2011年","37000","香川県","992000","","8.4",""
"2011年","38000","愛媛県","1424000","","8.0",""
"2011年","39000","高知県","758000","","6.9",""
"2011年","40000","福岡県","5081000","","9.2",""
"2011年","41000","佐賀県","847000","","9.0",""
"2011年","42000","長崎県","1418000","","8.3",""
"2011年","43000","熊本県","1813000","","8.9",""
"2011年","44000","大分県","1192000","","8.4",""
"2011年","45000","宮崎県","1130000","","9.0",""
"2011年","46000","鹿児島県","1697000","","9.0",""
"2011年","47000","沖縄県","1402000","","12.1",""
"2012年","01000","北海道","5465000","","7.1",""
"2012年","02000","青森県","1350000","","6.8",""
"2012年","03000","岩手県","1306000","","7.1",""
"2012年","04000","宮城県","2329000","","8.1",""
"2012年","05000","秋田県","1063000","","6.2",""
"2012年","06000","山形県","1153000","","7.2",""
"2012年","07000","福島県","1957000","","7.0",""
"2012年","08000","茨城県","2947000","","7.9",""
"2012年","09000","栃木県","1992000","","8.1",""
"2012年","10000","群馬県","1994000","","7.6",""
"2012年","11000","埼玉県","7216000","","8.0",""
"2012年","12000","千葉県","6200000","","8.0",""
"2012年","13000","東京都","13234000","","8.3",""
"2012年","14000","神奈川県","9070000","","8.4",""
"2012年","15000","新潟県","2350000","","7.5",""
"2012年","16000","富山県","1083000","","7.4",""
"2012年","17000","石川県","1164000","","8.3",""
"2012年","18000","福井県","800000","","8.5",""
"2012年","19000","山梨県","852000","","7.5",""
"2012年","20000","長野県","2132000","","7.9",""
"2012年","21000","岐阜県","2062000","","8.1",""
"2012年","22000","静岡県","3739000","","8.4",""
"2012年","23000","愛知県","7431000","","9.3",""
"2012年","24000","三重県","1841000","","8.1",""
"2012年","25000","滋賀県","1414000","","9.5",""
"2012年","26000","京都府","2628000","","7.8",""
"2012年","27000","大阪府","8861000","","8.4",""
"2012年","28000","兵庫県","5575000","","8.4",""
"2012年","29000","奈良県","1388000","","7.7",""
"2012年","30000","和歌山県","988000","","7.6",""
"2012年","31000","鳥取県","583000","","8.3",""
"2012年","32000","島根県","708000","","8.0",""
"2012年","33000","岡山県","1937000","","8.5",""
"2012年","34000","広島県","2855000","","8.8",""
"2012年","35000","山口県","1434000","","7.6",""
"2012年","36000","徳島県","775000","","7.4",""
"2012年","37000","香川県","989000","","8.3",""
"2012年","38000","愛媛県","1415000","","7.9",""
"2012年","39000","高知県","751000","","7.0",""
"2012年","40000","福岡県","5089000","","9.1",""
"2012年","41000","佐賀県","845000","","8.9",""
"2012年","42000","長崎県","1408000","","8.4",""
"2012年","43000","熊本県","1807000","","8.9",""
"2012年","44000","大分県","1186000","","8.2",""
"2012年","45000","宮崎県","1125000","","8.8",""
"2012年","46000","鹿児島県","1687000","","8.8",""
"2012年","47000","沖縄県","1411000","","12.2",""
"2013年","01000","北海道","5438000","","7.1",""
"2013年","02000","青森県","1337000","","6.8",""
"2013年","03000","岩手県","1299000","","7.2",""
"2013年","04000","宮城県","2333000","","8.2",""
"2013年","05000","秋田県","1050000","","5.9",""
"2013年","06000","山形県","1144000","","7.2",""
"2013年","07000","福島県","1940000","","7.5",""
"2013年","08000","茨城県","2937000","","7.7",""
"2013年","09000","栃木県","1986000","","7.9",""
"2013年","10000","群馬県","1986000","","7.6",""
"2013年","11000","埼玉県","7228000","","8.1",""
"2013年","12000","千葉県","6201000","","7.9",""
"2013年","13000","東京都","13307000","","8.5",""
"2013年","14000","神奈川県","9084000","","8.3",""
"2013年","15000","新潟県","2336000","","7.4",""
"2013年","16000","富山県","1077000","","7.3",""
"2013年","17000","石川県","1160000","","8.2",""
"2013年","18000","福井県","796000","","8.2",""
"2013年","19000","山梨県","847000","","7.4",""
"2013年","20000","長野県","2122000","","7.8",""
"2013年","21000","岐阜県","2053000","","7.9",""
"2013年","22000","静岡県","3730000","","8.2",""
"2013年","23000","愛知県","7449000","","9.2",""
"2013年","24000","三重県","1833000","","8.1",""
"2013年","25000","滋賀県","1415000","","9.3",""
"2013年","26000","京都府","2622000","","7.8",""
"2013年","27000","大阪府","8856000","","8.3",""
"2013年","28000","兵庫県","5565000","","8.3",""
"2013年","29000","奈良県","1381000","","7.4",""
"2013年","30000","和歌山県","980000","","7.3",""
"2013年","31000","鳥取県","580000","","8.3",""
"2013年","32000","島根県","704000","","7.9",""
"2013年","33000","岡山県","1932000","","8.5",""
"2013年","34000","広島県","2850000","","8.8",""
"2013年","35000","山口県","1425000","","7.6",""
"2013年","36000","徳島県","769000","","7.4",""
"2013年","37000","香川県","985000","","8.2",""
"2013年","38000","愛媛県","1406000","","7.7",""
"2013年","39000","高知県","743000","","7.1",""
"2013年","40000","福岡県","5096000","","9.1",""
"2013年","41000","佐賀県","841000","","8.7",""
"2013年","42000","長崎県","1397000","","8.3",""
"2013年","43000","熊本県","1801000","","8.9",""
"2013年","44000","大分県","1180000","","8.2",""
"2013年","45000","宮崎県","1119000","","8.8",""
"2013年","46000","鹿児島県","1675000","","8.7",""
"2013年","47000","沖縄県","1419000","","12.2",""
"2014年","01000","北海道","5410000","","6.9",""
"2014年","02000","青森県","1323000","","6.7",""
"2014年","03000","岩手県","1290000","","6.9",""
"2014年","04000","宮城県","2335000","","7.8",""
"2014年","05000","秋田県","1037000","","5.8",""
"2014年","06000","山形県","1134000","","7.1",""
"2014年","07000","福島県","1927000","","7.5",""
"2014年","08000","茨城県","2927000","","7.6",""
"2014年","09000","栃木県","1980000","","7.9",""
"2014年","10000","群馬県","1979000","","7.5",""
"2014年","11000","埼玉県","7247000","","7.8",""
"2014年","12000","千葉県","6209000","","7.6",""
"2014年","13000","東京都","13399000","","8.5",""
"2014年","14000","神奈川県","9103000","","8.1",""
"2014年","15000","新潟県","2320000","","7.2",""
"2014年","16000","富山県","1072000","","7.1",""
"2014年","17000","石川県","1157000","","7.8",""
"2014年","18000","福井県","791000","","7.9",""
"2014年","19000","山梨県","841000","","7.3",""
"2014年","20000","長野県","2110000","","7.6",""
"2014年","21000","岐阜県","2043000","","7.5",""
"2014年","22000","静岡県","3715000","","7.9",""
"2014年","23000","愛知県","7464000","","8.9",""
"2014年","24000","三重県","1826000","","7.7",""
"2014年","25000","滋賀県","1414000","","9.1",""
"2014年","26000","京都府","2616000","","7.6",""
"2014年","27000","大阪府","8845000","","8.1",""
"2014年","28000","兵庫県","5550000","","8.1",""
"2014年","29000","奈良県","1373000","","7.0",""
"2014年","30000","和歌山県","972000","","7.4",""
"2014年","31000","鳥取県","577000","","7.9",""
"2014年","32000","島根県","699000","","7.7",""
"2014年","33000","岡山県","1926000","","8.3",""
"2014年","34000","広島県","2846000","","8.5",""
"2014年","35000","山口県","1415000","","7.3",""
"2014年","36000","徳島県","763000","","7.2",""
"2014年","37000","香川県","980000","","8.0",""
"2014年","38000","愛媛県","1396000","","7.5",""
"2014年","39000","高知県","736000","","6.8",""
"2014年","40000","福岡県","5099000","","9.0",""
"2014年","41000","佐賀県","837000","","8.6",""
"2014年","42000","長崎県","1387000","","8.2",""
"2014年","43000","熊本県","1795000","","8.7",""
"2014年","44000","大分県","1173000","","8.0",""
"2014年","45000","宮崎県","1112000","","8.6",""
