"時点","地域コード","地域","総人口（総数）【人】","注記"
"2006年","31000","鳥取県","604000",""
"2006年","32000","島根県","737000",""
"2006年","33000","岡山県","1956000",""
"2006年","34000","広島県","2875000",""
"2006年","35000","山口県","1484000",""
"2006年","36000","徳島県","806000",""
"2006年","37000","香川県","1009000",""
"2006年","38000","愛媛県","1460000",""
"2006年","39000","高知県","790000",""
"2006年","40000","福岡県","5057000",""
"2006年","41000","佐賀県","863000",""
"2006年","42000","長崎県","1467000",""
"2006年","43000","熊本県","1838000",""
"2006年","44000","大分県","1207000",""
"2006年","45000","宮崎県","1150000",""
"2006年","46000","鹿児島県","1744000",""
"2006年","47000","沖縄県","1369000",""
"2007年","01000","北海道","5579000",""
"2007年","02000","青森県","1409000",""
"2007年","03000","岩手県","1364000",""
"2007年","04000","宮城県","2354000",""
"2007年","05000","秋田県","1121000",""
"2007年","06000","山形県","1198000",""
"2007年","07000","福島県","2067000",""
"2007年","08000","茨城県","2973000",""
"2007年","09000","栃木県","2016000",""
"2007年","10000","群馬県","2020000",""
"2007年","11000","埼玉県","7106000",""
"2007年","12000","千葉県","6119000",""
"2007年","13000","東京都","12848000",""
"2007年","14000","神奈川県","8912000",""
"2007年","15000","新潟県","2408000",""
"2007年","16000","富山県","1107000",""
"2007年","17000","石川県","1173000",""
"2007年","18000","福井県","817000",""
"2007年","19000","山梨県","877000",""
"2007年","20000","長野県","2182000",""
"2007年","21000","岐阜県","2104000",""
"2007年","22000","静岡県","3796000",""
"2007年","23000","愛知県","7357000",""
"2007年","24000","三重県","1873000",""
"2007年","25000","滋賀県","1398000",""
"2007年","26000","京都府","2643000",""
"2007年","27000","大阪府","8839000",""
"2007年","28000","兵庫県","5593000",""
"2007年","29000","奈良県","1413000",""
"2007年","30000","和歌山県","1021000",""
"2007年","31000","鳥取県","601000",""
"2007年","32000","島根県","733000",""
"2007年","33000","岡山県","1956000",""
"2007年","34000","広島県","2874000",""
"2007年","35000","山口県","1476000",""
"2007年","36000","徳島県","800000",""
"2007年","37000","香川県","1006000",""
"2007年","38000","愛媛県","1453000",""
"2007年","39000","高知県","783000",""
"2007年","40000","福岡県","5061000",""
"2007年","41000","佐賀県","860000",""
"2007年","42000","長崎県","1455000",""
"2007年","43000","熊本県","1832000",""
"2007年","44000","大分県","1206000",""
"2007年","45000","宮崎県","1146000",""
"2007年","46000","鹿児島県","1733000",""
"2007年","47000","沖縄県","1374000",""
"2008年","01000","北海道","5548000",""
"2008年","02000","青森県","1395000",""
"2008年","03000","岩手県","1352000",""
"2008年","04000","宮城県","2349000",""
"2008年","05000","秋田県","1109000",""
"2008年","06000","山形県","1188000",""
"2008年","07000","福島県","2054000",""
"2008年","08000","茨城県","2971000",""
"2008年","09000","栃木県","2015000",""
"2008年","10000","群馬県","2017000",""
"2008年","11000","埼玉県","7136000",""
"2008年","12000","千葉県","6153000",""
"2008年","13000","東京都","12973000",""
"2008年","14000","神奈川県","8965000",""
"2008年","15000","新潟県","2396000",""
"2008年","16000","富山県","1103000",""
"2008年","17000","石川県","1172000",""
"2008年","18000","福井県","814000",""
"2008年","19000","山梨県","871000",""
"2008年","20000","長野県","2173000",""
"2008年","21000","岐阜県","2100000",""
"2008年","22000","静岡県","3793000",""
"2008年","23000","愛知県","7399000",""
"2008年","24000","三重県","1871000",""
"2008年","25000","滋賀県","1405000",""
"2008年","26000","京都府","2640000",""
"2008年","27000","大阪府","8847000",""
"2008年","28000","兵庫県","5592000",""
"2008年","29000","奈良県","1407000",""
"2008年","30000","和歌山県","1014000",""
"2008年","31000","鳥取県","596000",""
"2008年","32000","島根県","727000",""
"2008年","33000","岡山県","1953000",""
"2008年","34000","広島県","2870000",""
"2008年","35000","山口県","1466000",""
"2008年","36000","徳島県","795000",""
"2008年","37000","香川県","1003000",""
"2008年","38000","愛媛県","1445000",""
"2008年","39000","高知県","775000",""
"2008年","40000","福岡県","5062000",""
"2008年","41000","佐賀県","856000",""
"2008年","42000","長崎県","1443000",""
"2008年","43000","熊本県","1826000",""
"2008年","44000","大分県","1204000",""
"2008年","45000","宮崎県","1141000",""
"2008年","46000","鹿児島県","1721000",""
"2008年","47000","沖縄県","1378000",""
"2009年","01000","北海道","5524000",""
"2009年","02000","青森県","1383000",""
"2009年","03000","岩手県","1340000",""
"2009年","04000","宮城県","2348000",""
"2009年","05000","秋田県","1097000",""
"2009年","06000","山形県","1178000",""
"2009年","07000","福島県","2041000",""
"2009年","08000","茨城県","2970000",""
"2009年","09000","栃木県","2011000",""
"2009年","10000","群馬県","2014000",""
"2009年","11000","埼玉県","7161000",""
"2009年","12000","千葉県","6180000",""
"2009年","13000","東京都","13048000",""
"2009年","14000","神奈川県","9006000",""
"2009年","15000","新潟県","2385000",""
"2009年","16000","富山県","1098000",""
"2009年","17000","石川県","1171000",""
"2009年","18000","福井県","810000",""
"2009年","19000","山梨県","867000",""
"2009年","20000","長野県","2162000",""
"2009年","21000","岐阜県","2091000",""
"2009年","22000","静岡県","3783000",""
"2009年","23000","愛知県","7411000",""
"2009年","24000","三重県","1864000",""
"2009年","25000","滋賀県","1409000",""
"2009年","26000","京都府","2637000",""
"2009年","27000","大阪府","8855000",""
"2009年","28000","兵庫県","5591000",""
"2009年","29000","奈良県","1404000",""
"2009年","30000","和歌山県","1008000",""
"2009年","31000","鳥取県","592000",""
"2009年","32000","島根県","721000",""
"2009年","33000","岡山県","1949000",""
"2009年","34000","広島県","2864000",""
"2009年","35000","山口県","1459000",""
"2009年","36000","徳島県","790000",""
"2009年","37000","香川県","999000",""
"2009年","38000","愛媛県","1438000",""
"2009年","39000","高知県","769000",""
"2009年","40000","福岡県","5064000",""
"2009年","41000","佐賀県","853000",""
"2009年","42000","長崎県","1434000",""
"2009年","43000","熊本県","1821000",""
"2009年","44000","大分県","1200000",""
"2009年","45000","宮崎県","1138000",""
"2009年","46000","鹿児島県","1712000",""
"2009年","47000","沖縄県","1385000",""
"2010年","01000","北海道","5506419",""
"2010年","02000","青森県","1373339",""
"2010年","03000","岩手県","1330147",""
"2010年","04000","宮城県","2348165",""
"2010年","05000","秋田県","1085997",""
"2010年","06000","山形県","1168924",""
"2010年","07000","福島県","2029064",""
"2010年","08000","茨城県","2969770",""
"2010年","09000","栃木県","2007683",""
"2010年","10000","群馬県","2008068",""
"2010年","11000","埼玉県","7194556",""
"2010年","12000","千葉県","6216289",""
"2010年","13000","東京都","13159388",""
"2010年","14000","神奈川県","9048331",""
"2010年","15000","新潟県","2374450",""
"2010年","16000","富山県","1093247",""
"2010年","17000","石川県","1169788",""
"2010年","18000","福井県","806314",""
"2010年","19000","山梨県","863075",""
"2010年","20000","長野県","2152449",""
"2010年","21000","岐阜県","2080773",""
"2010年","22000","静岡県","3765007",""
"2010年","23000","愛知県","7410719",""
"2010年","24000","三重県","1854724",""
"2010年","25000","滋賀県","1410777",""
"2010年","26000","京都府","2636092",""
"2010年","27000","大阪府","8865245",""
"2010年","28000","兵庫県","5588133",""
"2010年","29000","奈良県","1400728",""
"2010年","30000","和歌山県","1002198",""
"2010年","31000","鳥取県","588667",""
"2010年","32000","島根県","717397",""
"2010年","33000","岡山県","1945276",""
"2010年","34000","広島県","2860750",""
"2010年","35000","山口県","1451338",""
"2010年","36000","徳島県","785491",""
"2010年","37000","香川県","995842",""
"2010年","38000","愛媛県","1431493",""
"2010年","39000","高知県","764456",""
"2010年","40000","福岡県","5071968",""
"2010年","41000","佐賀県","849788",""
"2010年","42000","長崎県","1426779",""
"2010年","43000","熊本県","1817426",""
"2010年","44000","大分県","1196529",""
"2010年","45000","宮崎県","1135233",""
"2010年","46000","鹿児島県","1706242",""
"2010年","47000","沖縄県","1392818",""
"2011年","01000","北海道","5488000",""
"2011年","02000","青森県","1363000",""
"2011年","03000","岩手県","1315000",""
"2011年","04000","宮城県","2326000",""
"2011年","05000","秋田県","1075000",""
"2011年","06000","山形県","1162000",""
"2011年","07000","福島県","1988000",""
"2011年","08000","茨城県","2960000",""
"2011年","09000","栃木県","2000000",""
"2011年","10000","群馬県","2001000",""
"2011年","11000","埼玉県","7209000",""
"2011年","12000","千葉県","6217000",""
"2011年","13000","東京都","13198000",""
"2011年","14000","神奈川県","9060000",""
"2011年","15000","新潟県","2364000",""
"2011年","16000","富山県","1088000",""
"2011年","17000","石川県","1167000",""
"2011年","18000","福井県","803000",""
"2011年","19000","山梨県","857000",""
"2011年","20000","長野県","2142000",""
"2011年","21000","岐阜県","2071000",""
"2011年","22000","静岡県","3752000",""
"2011年","23000","愛知県","7418000",""
"2011年","24000","三重県","1847000",""
"2011年","25000","滋賀県","1413000",""
"2011年","26000","京都府","2633000",""
"2011年","27000","大阪府","8863000",""
"2011年","28000","兵庫県","5584000",""
"2011年","29000","奈良県","1395000",""
"2011年","30000","和歌山県","995000",""
"2011年","31000","鳥取県","586000",""
"2011年","32000","島根県","713000",""
"2011年","33000","岡山県","1941000",""
"2011年","34000","広島県","2858000",""
"2011年","35000","山口県","1444000",""
"2011年","36000","徳島県","780000",""
"2011年","37000","香川県","992000",""
"2011年","38000","愛媛県","1424000",""
"2011年","39000","高知県","758000",""
"2011年","40000","福岡県","5081000",""
"2011年","41000","佐賀県","847000",""
"2011年","42000","長崎県","1418000",""
"2011年","43000","熊本県","1813000",""
"2011年","44000","大分県","1192000",""
"2011年","45000","宮崎県","1130000",""
"2011年","46000","鹿児島県","1697000",""
"2011年","47000","沖縄県","1402000",""
"2012年","01000","北海道","5465000",""
"2012年","02000","青森県","1350000",""
"2012年","03000","岩手県","1306000",""
"2012年","04000","宮城県","2329000",""
"2012年","05000","秋田県","1063000",""
"2012年","06000","山形県","1153000",""
"2012年","07000","福島県","1957000",""
"2012年","08000","茨城県","2947000",""
"2012年","09000","栃木県","1992000",""
"2012年","10000","群馬県","1994000",""
"2012年","11000","埼玉県","7216000",""
"2012年","12000","千葉県","6200000",""
"2012年","13000","東京都","13234000",""
"2012年","14000","神奈川県","9070000",""
"2012年","15000","新潟県","2350000",""
"2012年","16000","富山県","1083000",""
"2012年","17000","石川県","1164000",""
"2012年","18000","福井県","800000",""
"2012年","19000","山梨県","852000",""
"2012年","20000","長野県","2132000",""
"2012年","21000","岐阜県","2062000",""
"2012年","22000","静岡県","3739000",""
"2012年","23000","愛知県","7431000",""
"2012年","24000","三重県","1841000",""
"2012年","25000","滋賀県","1414000",""
"2012年","26000","京都府","2628000",""
"2012年","27000","大阪府","8861000",""
"2012年","28000","兵庫県","5575000",""
"2012年","29000","奈良県","1388000",""
"2012年","30000","和歌山県","988000",""
"2012年","31000","鳥取県","583000",""
"2012年","32000","島根県","708000",""
"2012年","33000","岡山県","1937000",""
"2012年","34000","広島県","2855000",""
"2012年","35000","山口県","1434000",""
"2012年","36000","徳島県","775000",""
"2012年","37000","香川県","989000",""
"2012年","38000","愛媛県","1415000",""
"2012年","39000","高知県","751000",""
"2012年","40000","福岡県","5089000",""
"2012年","41000","佐賀県","845000",""
"2012年","42000","長崎県","1408000",""
"2012年","43000","熊本県","1807000",""
"2012年","44000","大分県","1186000",""
"2012年","45000","宮崎県","1125000",""
"2012年","46000","鹿児島県","1687000",""
"2012年","47000","沖縄県","1411000",""
"2013年","01000","北海道","5438000",""
"2013年","02000","青森県","1337000",""
"2013年","03000","岩手県","1299000",""
"2013年","04000","宮城県","2333000",""
"2013年","05000","秋田県","1050000",""
"2013年","06000","山形県","1144000",""
"2013年","07000","福島県","1940000",""
"2013年","08000","茨城県","2937000",""
"2013年","09000","栃木県","1986000",""
"2013年","10000","群馬県","1986000",""
"2013年","11000","埼玉県","7228000",""
"2013年","12000","千葉県","6201000",""
"2013年","13000","東京都","13307000",""
"2013年","14000","神奈川県","9084000",""
"2013年","15000","新潟県","2336000",""
"2013年","16000","富山県","1077000",""
"2013年","17000","石川県","1160000",""
"2013年","18000","福井県","796000",""
"2013年","19000","山梨県","847000",""
"2013年","20000","長野県","2122000",""
"2013年","21000","岐阜県","2053000",""
"2013年","22000","静岡県","3730000",""
"2013年","23000","愛知県","7449000",""
"2013年","24000","三重県","1833000",""
"2013年","25000","滋賀県","1415000",""
"2013年","26000","京都府","2622000",""
"2013年","27000","大阪府","8856000",""
"2013年","28000","兵庫県","5565000",""
"2013年","29000","奈良県","1381000",""
"2013年","30000","和歌山県","980000",""
"2013年","31000","鳥取県","580000",""
"2013年","32000","島根県","704000",""
"2013年","33000","岡山県","1932000",""
"2013年","34000","広島県","2850000",""
"2013年","35000","山口県","1425000",""
"2013年","36000","徳島県","769000",""
"2013年","37000","香川県","985000",""
"2013年","38000","愛媛県","1406000",""
"2013年","39000","高知県","743000",""
"2013年","40000","福岡県","5096000",""
"2013年","41000","佐賀県","841000",""
"2013年","42000","長崎県","1397000",""
"2013年","43000","熊本県","1801000",""
"2013年","44000","大分県","1180000",""
"2013年","45000","宮崎県","1119000",""
"2013年","46000","鹿児島県","1675000",""
"2013年","47000","沖縄県","1419000",""
"2014年","01000","北海道","5410000",""
"2014年","02000","青森県","1323000",""
"2014年","03000","岩手県","1290000",""
"2014年","04000","宮城県","2335000",""
"2014年","05000","秋田県","1037000",""
"2014年","06000","山形県","1134000",""
"2014年","07000","福島県","1927000",""
"2014年","08000","茨城県","2927000",""
"2014年","09000","栃木県","1980000",""
"2014年","10000","群馬県","1979000",""
"2014年","11000","埼玉県","7247000",""
"2014年","12000","千葉県","6209000",""
"2014年","13000","東京都","13399000",""
"2014年","14000","神奈川県","9103000",""
"2014年","15000","新潟県","2320000",""
"2014年","16000","富山県","1072000",""
"2014年","17000","石川県","1157000",""
"2014年","18000","福井県","791000",""
"2014年","19000","山梨県","841000",""
"2014年","20000","長野県","2110000",""
"2014年","21000","岐阜県","2043000",""
"2014年","22000","静岡県","3715000",""
"2014年","23000","愛知県","7464000",""
"2014年","24000","三重県","1826000",""
"2014年","25000","滋賀県","1414000",""
"2014年","26000","京都府","2616000",""
"2014年","27000","大阪府","8845000",""
"2014年","28000","兵庫県","5550000",""
"2014年","29000","奈良県","1373000",""
"2014年","30000","和歌山県","972000",""
"2014年","31000","鳥取県","577000",""
"2014年","32000","島根県","699000",""
"2014年","33000","岡山県","1926000",""
"2014年","34000","広島県","2846000",""
"2014年","35000","山口県","1415000",""
"2014年","36000","徳島県","763000",""
"2014年","37000","香川県","980000",""
"2014年","38000","愛媛県","1396000",""
"2014年","39000","高知県","736000",""
"2014年","40000","福岡県","5099000",""
"2014年","41000","佐賀県","837000",""
"2014年","42000","長崎県","1387000",""
"2014年","43000","熊本県","1795000",""
"2014年","44000","大分県","1173000",""
"2014年","45000","宮崎県","1112000",""
"2014年","46000","鹿児島県","1662000",""
"2014年","47000","沖縄県","1426000",""
"2015年","01000","北海道","5381733",""
"2015年","02000","青森県","1308265",""
"2015年","03000","岩手県","1279594",""
"2015年","04000","宮城県","2333899",""
"2015年","05000","秋田県","1023119",""
"2015年","06000","山形県","1123891",""
"2015年","07000","福島県","1914039",""
"2015年","08000","茨城県","2916976",""
"2015年","09000","栃木県","1974255",""
"2015年","10000","群馬県","1973115",""
"2015年","11000","埼玉県","7266534",""
"2015年","12000","千葉県","6222666",""
"2015年","13000","東京都","13515271",""
"2015年","14000","神奈川県","9126214",""
"2015年","15000","新潟県","2304264",""
"2015年","16000","富山県","1066328",""
"2015年","17000","石川県","1154008",""
"2015年","18000","福井県","786740",""
"2015年","19000","山梨県","834930",""
"2015年","20000","長野県","2098804",""
"2015年","21000","岐阜県","2031903",""
"2015年","22000","静岡県","3700305",""
"2015年","23000","愛知県","7483128",""
"2015年","24000","三重県","1815865",""
"2015年","25000","滋賀県","1412916",""
"2015年","26000","京都府","2610353",""
"2015年","27000","大阪府","8839469",""
"2015年","28000","兵庫県","5534800",""
"2015年","29000","奈良県","1364316",""
"2015年","30000","和歌山県","963579",""
"2015年","31000","鳥取県","573441",""
"2015年","32000","島根県","694352",""
"2015年","33000","岡山県","1921525",""
"2015年","34000","広島県","2843990",""
"2015年","35000","山口県","1404729",""
"2015年","36000","徳島県","755733",""
"2015年","37000","香川県","976263",""
"2015年","38000","愛媛県","1385262",""
"2015年","39000","高知県","728276",""
"2015年","40000","福岡県","5101556",""
"2015年","41000","佐賀県","832832",""
"2015年","42000","長崎県","1377187",""
"2015年","43000","熊本県","1786170",""
"2015年","44000","大分県","1166338",""
"2015年","45000","宮崎県","1104069",""
"2015年","46000","鹿児島県","1648177",""
"2015年","47000","沖縄県","1433566",""
"2016年","01000","北海道","5355000",""
"2016年","02000","青森県","1295000",""
"2016年","03000","岩手県","1268000",""
"2016年","04000","宮城県","2332000",""
"2016年","05000","秋田県","1011000",""
"2016年","06000","山形県","1114000",""
"2016年","07000","福島県","1903000",""
"2016年","08000","茨城県","2910000",""
"2016年","09000","栃木県","1969000",""
"2016年","10000","群馬県","1969000",""
"2016年","11000","埼玉県","7288000",""
"2016年","12000","千葉県","6242000",""
"2016年","13000","東京都","13646000",""
"2016年","14000","神奈川県","9152000",""
"2016年","15000","新潟県","2286000",""
"2016年","16000","富山県","1061000",""
"2016年","17000","石川県","1151000",""
"2016年","18000","福井県","783000",""
"2016年","19000","山梨県","831000",""
"2016年","20000","長野県","2091000",""
"2016年","21000","岐阜県","2024000",""
"2016年","22000","静岡県","3690000",""
"2016年","23000","愛知県","7509000",""
"2016年","24000","三重県","1809000",""
"2016年","25000","滋賀県","1414000",""
"2016年","26000","京都府","2608000",""
"2016年","27000","大阪府","8841000",""
"2016年","28000","兵庫県","5526000",""
"2016年","29000","奈良県","1357000",""
"2016年","30000","和歌山県","956000",""
"2016年","31000","鳥取県","570000",""
"2016年","32000","島根県","691000",""
"2016年","33000","岡山県","1917000",""
"2016年","34000","広島県","2840000",""
"2016年","35000","山口県","1394000",""
"2016年","36000","徳島県","750000",""
"2016年","37000","香川県","973000",""
"2016年","38000","愛媛県","1377000",""
"2016年","39000","高知県","721000",""
"2016年","40000","福岡県","5113000",""
"2016年","41000","佐賀県","829000",""
"2016年","42000","長崎県","1367000",""
"2016年","43000","熊本県","1775000",""
"2016年","44000","大分県","1160000",""
"2016年","45000","宮崎県","1097000",""
"2016年","46000","鹿児島県","1637000",""
"2016年","47000","沖縄県","1442000",""
"2017年","01000","北海道","5325000",""
"2017年","02000","青森県","1282000",""
"2017年","03000","岩手県","1254000",""
"2017年","04000","宮城県","2326000",""
"2017年","05000","秋田県","999000",""
"2017年","06000","山形県","1103000",""
"2017年","07000","福島県","1886000",""
"2017年","08000","茨城県","2902000",""
"2017年","09000","栃木県","1962000",""
"2017年","10000","群馬県","1963000",""
"2017年","11000","埼玉県","7307000",""
"2017年","12000","千葉県","6258000",""
"2017年","13000","東京都","13768000",""
"2017年","14000","神奈川県","9173000",""
"2017年","15000","新潟県","2267000",""
"2017年","16000","富山県","1056000",""
"2017年","17000","石川県","1148000",""
"2017年","18000","福井県","780000",""
"2017年","19000","山梨県","826000",""
"2017年","20000","長野県","2082000",""
"2017年","21000","岐阜県","2012000",""
"2017年","22000","静岡県","3681000",""
"2017年","23000","愛知県","7528000",""
"2017年","24000","三重県","1801000",""
"2017年","25000","滋賀県","1414000",""
"2017年","26000","京都府","2604000",""
"2017年","27000","大阪府","8841000",""
"2017年","28000","兵庫県","5515000",""
"2017年","29000","奈良県","1349000",""
"2017年","30000","和歌山県","948000",""
"2017年","31000","鳥取県","566000",""
"2017年","32000","島根県","687000",""
"2017年","33000","岡山県","1911000",""
"2017年","34000","広島県","2833000",""
"2017年","35000","山口県","1382000",""
"2017年","36000","徳島県","744000",""
"2017年","37000","香川県","968000",""
"2017年","38000","愛媛県","1368000",""
"2017年","39000","高知県","714000",""
"2017年","40000","福岡県","5123000",""
"2017年","41000","佐賀県","825000",""
"2017年","42000","長崎県","1355000",""
"2017年","43000","熊本県","1767000",""
"2017年","44000","大分県","1152000",""
"2017年","45000","宮崎県","1091000",""
"2017年","46000","鹿児島県","1626000",""
"2017年","47000","沖縄県","1448000",""
"2018年","01000","北海道","5293000",""
"2018年","02000","青森県","1268000",""
"2018年","03000","岩手県","1240000",""
"2018年","04000","宮城県","2320000",""
"2018年","05000","秋田県","985000",""
"2018年","06000","山形県","1092000",""
"2018年","07000","福島県","1869000",""
"2018年","08000","茨城県","2892000",""
"2018年","09000","栃木県","1953000",""
"2018年","10000","群馬県","1957000",""
"2018年","11000","埼玉県","7325000",""
"2018年","12000","千葉県","6273000",""
"2018年","13000","東京都","13887000",""
"2018年","14000","神奈川県","9197000",""
"2018年","15000","新潟県","2246000",""
"2018年","16000","富山県","1050000",""
"2018年","17000","石川県","1145000",""
"2018年","18000","福井県","777000",""
"2018年","19000","山梨県","821000",""
"2018年","20000","長野県","2073000",""
"2018年","21000","岐阜県","2001000",""
"2018年","22000","静岡県","3667000",""
"2018年","23000","愛知県","7541000",""
"2018年","24000","三重県","1793000",""
"2018年","25000","滋賀県","1414000",""
"2018年","26000","京都府","2598000",""
"2018年","27000","大阪府","8838000",""
"2018年","28000","兵庫県","5501000",""
"2018年","29000","奈良県","1341000",""
"2018年","30000","和歌山県","940000",""
"2018年","31000","鳥取県","562000",""
"2018年","32000","島根県","682000",""
"2018年","33000","岡山県","1904000",""
"2018年","34000","広島県","2824000",""
"2018年","35000","山口県","1369000",""
"2018年","36000","徳島県","736000",""
"2018年","37000","香川県","963000",""
"2018年","38000","愛媛県","1357000",""
"2018年","39000","高知県","707000",""
"2018年","40000","福岡県","5131000",""
"2018年","41000","佐賀県","821000",""
"2018年","42000","長崎県","1341000",""
"2018年","43000","熊本県","1759000",""
"2018年","44000","大分県","1143000",""
"2018年","45000","宮崎県","1084000",""
"2018年","46000","鹿児島県","1614000",""
"2018年","47000","沖縄県","1454000",""
"2019年","01000","北海道","5259000",""
"2019年","02000","青森県","1253000",""
"2019年","03000","岩手県","1226000",""
"2019年","04000","宮城県","2312000",""
"2019年","05000","秋田県","972000",""
"2019年","06000","山形県","1080000",""
"2019年","07000","福島県","1852000",""
"2019年","08000","茨城県","2879000",""
"2019年","09000","栃木県","1943000",""
"2019年","10000","群馬県","1949000",""
"2019年","11000","埼玉県","7342000",""
"2019年","12000","千葉県","6283000",""
"2019年","13000","東京都","14007000",""
"2019年","14000","神奈川県","9224000",""
"2019年","15000","新潟県","2224000",""
"2019年","16000","富山県","1043000",""
"2019年","17000","石川県","1139000",""
"2019年","18000","福井県","771000",""
"2019年","19000","山梨県","815000",""
"2019年","20000","長野県","2061000",""
"2019年","21000","岐阜県","1992000",""
"2019年","22000","静岡県","3653000",""
"2019年","23000","愛知県","7557000",""
"2019年","24000","三重県","1783000",""
"2019年","25000","滋賀県","1416000",""
"2019年","26000","京都府","2592000",""
"2019年","27000","大阪府","8842000",""
"2019年","28000","兵庫県","5488000",""
"2019年","29000","奈良県","1333000",""
"2019年","30000","和歌山県","931000",""
"2019年","31000","鳥取県","557000",""
"2019年","32000","島根県","677000",""
"2019年","33000","岡山県","1897000",""
"2019年","34000","広島県","2813000",""
"2019年","35000","山口県","1357000",""
"2019年","36000","徳島県","728000",""
"2019年","37000","香川県","958000",""
"2019年","38000","愛媛県","1346000",""
"2019年","39000","高知県","699000",""
"2019年","40000","福岡県","5134000",""
"2019年","41000","佐賀県","817000",""
"2019年","42000","長崎県","1327000",""
"2019年","43000","熊本県","1749000",""
"2019年","44000","大分県","1134000",""
"2019年","45000","宮崎県","1077000",""
"2019年","46000","鹿児島県","1602000",""
"2019年","47000","沖縄県","1462000",""
"2020年","01000","北海道","5224614",""
"2020年","02000","青森県","1237984",""
"2020年","03000","岩手県","1210534",""
"2020年","04000","宮城県","2301996",""
"2020年","05000","秋田県","959502",""
"2020年","06000","山形県","1068027",""
"2020年","07000","福島県","1833152",""
"2020年","08000","茨城県","2867009",""
"2020年","09000","栃木県","1933146",""
"2020年","10000","群馬県","1939110",""
"2020年","11000","埼玉県","7344765",""
"2020年","12000","千葉県","6284480",""
"2020年","13000","東京都","14047594",""
"2020年","14000","神奈川県","9237337",""
"2020年","15000","新潟県","2201272",""
"2020年","16000","富山県","1034814",""
"2020年","17000","石川県","1132526",""
"2020年","18000","福井県","766863",""
"2020年","19000","山梨県","809974",""
"2020年","20000","長野県","2048011",""
"2020年","21000","岐阜県","1978742",""
"2020年","22000","静岡県","3633202",""
"2020年","23000","愛知県","7542415",""
"2020年","24000","三重県","1770254",""
"2020年","25000","滋賀県","1413610",""
"2020年","26000","京都府","2578087",""
"2020年","27000","大阪府","8837685",""
"2020年","28000","兵庫県","5465002",""
"2020年","29000","奈良県","1324473",""
"2020年","30000","和歌山県","922584",""
"2020年","31000","鳥取県","553407",""
"2020年","32000","島根県","671126",""
"2020年","33000","岡山県","1888432",""
"2020年","34000","広島県","2799702",""
"2020年","35000","山口県","1342059",""
"2020年","36000","徳島県","719559",""
"2020年","37000","香川県","950244",""
"2020年","38000","愛媛県","1334841",""
"2020年","39000","高知県","691527",""
"2020年","40000","福岡県","5135214",""
"2020年","41000","佐賀県","811442",""
"2020年","42000","長崎県","1312317",""
"2020年","43000","熊本県","1738301",""
"2020年","44000","大分県","1123852",""
"2020年","45000","宮崎県","1069576",""
"2020年","46000","鹿児島県","1588256",""
"2020年","47000","沖縄県","1467480",""
"2021年","01000","北海道","5183000",""
"2021年","02000","青森県","1221000",""
"2021年","03000","岩手県","1196000",""
"2021年","04000","宮城県","2290000",""
"2021年","05000","秋田県","945000",""
"2021年","06000","山形県","1055000",""
"2021年","07000","福島県","1812000",""
"2021年","08000","茨城県","2852000",""
"2021年","09000","栃木県","1921000",""
"2021年","10000","群馬県","1927000",""
"2021年","11000","埼玉県","7340000",""
"2021年","12000","千葉県","6275000",""
"2021年","13000","東京都","14010000",""
"2021年","14000","神奈川県","9236000",""
"2021年","15000","新潟県","2177000",""
"2021年","16000","富山県","1025000",""
"2021年","17000","石川県","1125000",""
"2021年","18000","福井県","760000",""
"2021年","19000","山梨県","805000",""
"2021年","20000","長野県","2033000",""
"2021年","21000","岐阜県","1961000",""
"2021年","22000","静岡県","3608000",""
"2021年","23000","愛知県","7517000",""
"2021年","24000","三重県","1756000",""
"2021年","25000","滋賀県","1411000",""
"2021年","26000","京都府","2561000",""
"2021年","27000","大阪府","8806000",""
"2021年","28000","兵庫県","5432000",""
"2021年","29000","奈良県","1315000",""
"2021年","30000","和歌山県","914000",""
"2021年","31000","鳥取県","549000",""
"2021年","32000","島根県","665000",""
"2021年","33000","岡山県","1876000",""
"2021年","34000","広島県","2780000",""
"2021年","35000","山口県","1328000",""
"2021年","36000","徳島県","712000",""
"2021年","37000","香川県","942000",""
"2021年","38000","愛媛県","1321000",""
"2021年","39000","高知県","684000",""
"2021年","40000","福岡県","5124000",""
"2021年","41000","佐賀県","806000",""
"2021年","42000","長崎県","1297000",""
"2021年","43000","熊本県","1728000",""
"2021年","44000","大分県","1114000",""
"2021年","45000","宮崎県","1061000",""
"2021年","46000","鹿児島県","1576000",""
"2021年","47000","沖縄県","1468000",""
